ID_BP;ID_SD;BibNom;BibType;BibRCR;BibDroit;BibEco;BibLSH;BibScStaps;BibSante;BibAut;BibPubVisé;BibDepDoc;BibETP;BibEntrees;BibSurfaceTot;BibSurfacePub;BibPlacesTot;BibPlacesGroup;BibSemHeures;BibSamJ;BibSamH;BibDimJ;BibDimH;BibAnneeH;BibAnneeJ;BibML;BibPrets;BibConsult;BibComIndirect;BibPretMatos;UAI_Old;NUMUn;UAI_2018;Ident_FMu;Nom interne
206;32;Bibliothèque Bourget LAMA;associée;;0;0;0;1;0;0;recherche;;;;15;;;;;;;;;;;24;;;;;0731137P;UN12;0731137P;71;CHAMBERY
207;32;Bibliothèque Bourget POLYTECH LOCIE;associée;;0;0;0;1;0;0;recherche;;;;0;;0;;;;;;;;;7;;;;;0731137P;UN13;0731137P;71;CHAMBERY
208;33;BU IUT Aurillac;autre;;1;1;1;1;0;0;étudiant;;2;26965;376;350;113;12;46,5;;;;;1929,5;217;145;1466;0;0;84;0631005A;Un00;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
209;33;Administration + Direction;autre;;0;0;0;0;0;1;mixte;0;9;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0631005A;Un01;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
210;33;BU droit et sciences économiques;autre;;1;1;0;0;0;0;mixte;;16,8;220737;2500;1350;340;0;71;;;;;2783;247;4434;28874;0;1197;56;0631005A;Un02;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
211;33;BU Lettres Carnot;autre;;0;0;1;0;0;0;mixte;;1;3659;553;60;34;0;35;;;;;1050;150;1575;3659;0;1101;0;0631005A;UN03;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
212;33;BU IUT Montluçon;autre;;0;0;0;1;0;0;étudiant;0;2;0;263;230;75;0;47,5;;;;;1841;198;364;1083;0;0;5;0631005A;Un04;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
213;33;BU LSH Gergovia;autre;;0;0;1;0;0;0;étudiant;;9;183141;1110;880;220;10;72;;;;;2868;242;1369;26921;0;474;0;0631005A;Un05;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
214;33;BU LSH Lafayette;autre;;0;0;1;0;0;0;mixte;;20,7;82662;3757;400;220;0;52,5;;;;;2203,5;218;9964;23539;0;4181;0;0631005A;Un06;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
215;33;BU santé - odontologie;autre;;0;0;0;0;1;0;mixte;;1;8646;180;180;54;15;39,5;;;;;1563,5;202;85;1025;0;0;0;0631005A;Un07;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
216;33;BU santé;autre;;0;0;0;0;1;0;mixte;;15,85;333701;2337;1177;380;14;77,5;;;;;3129,5;237;2979;11226;7864;185;223;0631005A;Un08;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
217;33;BU sciences et techniques;autre;;0;0;0;1;0;0;mixte;;16,9;213262;5850;2800;669;97;63;;;;;2836;232;4054;24129;16000;0;1304;0631005A;Un09;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
218;33;BU ESPE Chamalières;autre;;1;1;1;1;1;1;étudiant;;4;48303;885;800;94;8;48;;;;;1872;202;815;17831;2385;0;3;0631005A;UN10;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
220;33;Bibliothèque Numérique;autre;;0;0;0;0;0;1;mixte;;9,35;0;175;0;0;0;0;;;;;0;0;0;0;0;0;0;0631005A;UN12;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
221;33;BU ESPE-IUT Moulins;autre;;0;0;1;0;0;0;étudiant;;0;11124;385;282;60;38;38;;;;;1444;188;742;4087;0;0;2;0631005A;UN13;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
222;33;BU droit et sciences économiques - Rotonde;autre;;1;1;0;0;0;0;étudiant;0;0;8949;165;160;60;12;40;;;;;856;107;0;0;0;0;3;0631005A;UN14;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
223;33;BU Le Puy;autre;;0;0;1;1;0;0;mixte;;1;0;270;270;28;;46;;;;;1934,5;212;;663;0;0;1;0631005A;UN16;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
224;33;Bibliothèque du CERDI;associée;;0;1;0;0;0;0;recherche;21000;1,4;0;165;112;48;0;55;;;;;2640;181;700;0;0;0;0;0631005A;UN17;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
225;33;BU Lettres Gergovia niveau 2 (ex-BUFR);autre;;0;0;1;0;0;0;mixte;;2,8;21489;888;850;116;0;39;;;;;1187;159;2314;3573;0;0;0;0631005A;UN23;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
226;33;Bibliothèque de Géologie;associée;;0;0;0;1;0;0;recherche;12500;1;65;165;165;15;10;37,5;;;;;0;0;0;0;0;0;0;0631005A;UN26;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
227;33;Bibliothèque de SIGMA;associée;;0;0;0;1;0;0;mixte;41894;2,7;;;;;;40;;;;;2120;265;;301;0;0;0;0631005A;UN27;0631005A;74;CLERMONT-FERRAND (CF1 + CF2 puis fusion au 1-1-2017)
