ID_BP;ID_SD_2018;BibNom;BibType;BibFictive;BibAdresse;BibCP;BibVille;BibDroit;BibEco;BibLSH;BibScStaps;BibSante;BibAut;BibPubVisé;UAI_Old;NUMUn;UAI_2018;Ident_FMu
218;33;BU ESPE Chamalières;autre;0;ESPE CLERMONT AUVERGNE [RC] 36 AVENUE JEAN JAURES;63400;Chamalières;1;1;1;1;1;1;étudiant;0631005A;UN10;0631005A;74
219;33;Bibliothèque du centre Michel de L'Hospital;associée;0;Ecole de Droit [RC] CS 20054 [RC] 41, Boulevard François Mitterrand;63002;Clermont-Ferrand;1;0;0;0;0;0;recherche;0631005A;UN11;0631005A;74
220;33;Bibliothèque Numérique;autre;1;6 impasse Amélie Murat, Campus des Cézeaux;63174;Aubière;0;0;0;0;0;1;mixte;0631005A;UN12;0631005A;74
221;33;BU ESPE-IUT Moulins;autre;0;28 rue des Geais;03000;Moulins;0;0;1;0;0;0;étudiant;0631005A;UN13;0631005A;74
222;33;BU droit et sciences économiques - Rotonde;autre;0;26 avenue Léon Blum;63000;Clermont-Ferrand;1;1;0;0;0;0;étudiant;0631005A;UN14;0631005A;74
223;33;BU Le Puy;autre;0;8 RUE JEAN-BAPTISTE FABRE CS 10219;43012;Le Puy en Velay;0;0;1;1;0;0;mixte;0631005A;UN16;0631005A;74
224;33;Bibliothèque du CERDI;associée;0;65 boulevard François Mitterrand;63000;Clermont-Ferrand;0;1;0;0;0;0;recherche;0631005A;UN17;0631005A;74
225;33;BU Lettres Gergovia niveau 2 (ex-BUFR);autre;0;29, boulevard Gergovia, 2e étage;63000;Clermont-Ferrand;0;0;1;0;0;0;mixte;0631005A;UN23;0631005A;74
226;33;Bibliothèque de Géologie;associée;0;Laboratoire Magmas et Volcans, Campus des Cézeaux;63170;Aubière;0;0;0;1;0;0;recherche;0631005A;UN26;0631005A;74
227;33;Bibliothèque de SIGMA;associée;0;IFMA CAMPUS DE CLERMONT/LES CEZEAUX 27 rue Roche GeneS;63170;Aubière;0;0;0;1;0;0;mixte;0631005A;UN27;0631005A;74
228;33;Bibliothèque de Mathématiques et Informatique;associée;0;Campus des Cézeaux, 3 place Vasarely;63170;Aubière;0;0;0;1;0;0;mixte;0631005A;UN28;0631005A;74
229;33;Bibliothèque du département de Physique;associée;0;Département de physique, [RC] Campus universitaire des Cézeaux, [RC] 24 avenue des Landais;63170;Aubière;0;0;0;1;0;0;mixte;0631005A;UN29;0631005A;74
230;33;Pôle Documentaire du Campus agronomique de VetAgro Sup;associée;0;89, avenue de l'Europe - BP 35;63370;Lempdes;0;0;0;1;0;0;mixte;0631005A;UN31;0631005A;74
231;33;Médiathèque de l'Orangerie;associée;0;Pôle universitaire de Vichy - 1 avenue des Célestins;03200;Vichy;0;0;1;0;1;1;étudiant;0631005A;UN32;0631005A;74
232;34;Centre de Documentation sur la Formation et le Travail;autre;0;41, rue Gay-Lussac;75005;Paris;0;0;1;0;0;0;recherche;0753471R;UN00;;76
233;34;Bibliothèque Conté;autre;0;2 rue Conté;75003;Paris;1;0;0;0;0;1;mixte;0753471R;UN01;;76
234;34;Bibliothèque de l'ESGT;autre;0;1 Boulevard Pythagore;72000;Le Mans;1;0;0;0;0;1;mixte;0753471R;UN02;;76
235;34;Bibliothèque Gay-Lussac;autre;0;41 rue Gay-Lussac;75005;Paris;0;0;1;0;0;1;mixte;0753471R;UN03;;76
236;34;Bibliothèque centrale;autre;0;292 rue Saint-Martin;75003;Paris;0;1;0;1;0;1;mixte;0753471R;UN04;;76
237;34;Centre de documentation du CEET;autre;0;29, promenade Michel Simon;93166;Noisy-le-Grand;1;1;1;0;0;0;recherche;0753471R;UN05;;76
238;35;[Direction des bibliothèques du Collège de France];autre;1;11 Place Marcelin Berthelot;75005;PARIS;1;1;1;1;1;1;mixte;0753480A;Un00;;77
239;35;Bibliothèque patrimoniale;autre;0;11 Place Marcelin Berthelot;75005;PARIS;1;1;1;1;1;1;mixte;0753480A;UN01;;77
240;35;Bibliothèque byzantine (n°UAI 073480A) et CHCB;autre;0;4 rue Valette;75005;PARIS;0;0;1;0;0;0;mixte;0753480A;UN02;;77
