ID_BP;ID_SD;ID_SD_2018;ID_SD_2017;ID_SD_2016;ID_SD_2015;ID_SD_2014;ID_SD_2013;BibNom;Etat;BibFictive;BibAdresse;BibCP;BibVille;UAI_Old;NUMUn;UAI_2018;Ident_FMu;Nom interne
1;1;1;1;;;;;Bibliothèque;active;0;16, rue Bonaparte;75006;Paris;0753705V;Un00;;1;ACAD. NAT. DE MEDECINE
2;4;4;4;;;;;Centre de documentation;active;0;1-7, rue Jean Monnet;92298;Chatenay Malabry Cedex;0922684T;UN00;;6;ANDRA-Agence nationale pour la gestion des déchets radioactifs
3;5;5;5;;;;;Bibliothèque Médecine-Odontologie;active;0;27 Boulevard Jean Moulin;13385;Marseille;0134031L;UN00;0134031L;9;AIX-MARSEILLE (>=2012)
4;5;5;5;;;;;Bibliothèque Pharmacie;active;0;27 Boulevard Jean Moulin;13005;Marseille;0134031L;UN01;0134031L;9;AIX-MARSEILLE (>=2012)
5;5;5;5;;;;;Bibliothèque Médecine Nord;active;0;51 Boulevard Dramart;13916;Marseille;0134031L;UN02;0134031L;9;AIX-MARSEILLE (>=2012)
6;5;5;5;;;;;IUT Hygiène, Sécurité, Environnement;active;0;Avenue Maurice Sandral;13708;La Ciotat;0134031L;UN03;0134031L;9;AIX-MARSEILLE (>=2012)
7;5;5;5;;;;;IUT Métiers du Livre;active;0;Cité du Livre, 8-10 rue des Allumettes;13098;Aix-en-Provence;0134031L;UN04;0134031L;9;AIX-MARSEILLE (>=2012)
8;5;5;5;;;;;Bibliothèque Sciences & techniques LUMINY;active;0;Hexagone, 163 Avenue de Luminy;13009;Marseille;0134031L;UN05;0134031L;9;AIX-MARSEILLE (>=2012)
9;5;5;5;;;;;Bibliothèque économie-gestion Ferry;active;0;14 avenue Jules Ferry;13621;Aix-en-Provence;0134031L;UN06;0134031L;9;AIX-MARSEILLE (>=2012)
10;5;5;5;;;;;Ecole Centrale de Marseille;active;0;Centre de documentation -  - Technopôle Château Gombert - 38 rue Joliot Curie;13451;Marseille cedex 13;0134031L;UN07;0134031L;9;AIX-MARSEILLE (>=2012)
11;5;5;5;;;;;Bibliothèque universitaire de Gap;active;0;2 rue Bayard;05000;Gap;0134031L;UN08;0134031L;9;AIX-MARSEILLE (>=2012)
12;5;5;5;;;;;Bibliothèque Droit & sciences politiques Schuman;active;0;3 avenue Robert Schuman;13621;Aix-en-Provence;0134031L;UN09;0134031L;9;AIX-MARSEILLE (>=2012)
13;5;5;5;;;;;Bibliothèque IMPGT Saporta;active;0;23 rue Gaston de Saporta;13090;Aix-en-Provence;0134031L;UN10;0134031L;9;AIX-MARSEILLE (>=2012)
14;5;5;5;;;;;Bibliothèque Droit & économie La Canebière;active;0;110-114 La Canebière;13001;Marseille;0134031L;UN11;0134031L;9;AIX-MARSEILLE (>=2012)
15;5;5;5;;;;;Bibliothèque Sciences & techniques MONTPERRIN;active;0;6 avenue du Pigonnet;13090;Aix-en-Provence;0134031L;UN12;0134031L;9;AIX-MARSEILLE (>=2012)
