"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
Etablissement - Informations générales;;;;;;;;Institution (inst.) - General information;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;
;;;;EtabNomOffi;nouveau;;Nom Etab officiel;Official name inst.;Nom officiel de l'établissement;Official name of the institution;Le nom officiel est un champ pré-rempli dans l’application.;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG1 selon les cas
;;;;EtabNomUsage;nouveau;;Nom Etab Usage;Common name inst.;Nom d'usage de l'établissement;Common name of the institution;Le nom d'usage est une donnée facultative.;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabSigle;nouveau;;Sigle établissement;Institution acronym;Sigle de l'établissement;Institution acronym;Le sigle est une donnée facultative.;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabMarque;nouveau;;Marque établissement;Institution label;Marque de l'établissement;Institution label;La marque est une donnée facultative.;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabAdresse;nouveau;;Adresse Etab;Inst. address ;Adresse de l'établissement;Institution address;Adresse : donner l’adresse postale de la direction de l’établissement. Les coordonnées de l’établissement sont récupérées de DataESR mais peuvent être corrigées. ;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG2 selon les cas
;;;;EtabCP;nouveau;;Code postal Etab;Inst. postcode ;Code postal de l'établissement;Institution postcode;Le code postal est indiqué sans CEDEX.;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG3 selon les cas
;;;;EtabVille;nouveau;;Ville Etab;Inst. city ;Ville de l'établissement;Institution city;;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG4 selon les cas
;;;;EtabGPS;nouveau;;Coord GPS Etab;Inst. GPS coord.;Coordonnées GPS de l'établissement;Institution GPS coordinates;;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabSiteWeb;nouveau;;Site Web Etab;Inst. Website;Site Web de l'établissement;Institution website;Site web : indiquer l’adresse du site web de l’établissement;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG5 selon les cas
;;;;EtabType;nouveau;;Type Etab;Inst. type ;Type d'établissement;Type of institution;Le type d’établissement est un champ pré-rempli dans l’application.;O;Saisie;;Liste non modifiable  choix unique;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;liste : 
Etablissement - Données annuelles (extérieures à l'enquête);;;;;;;;Institution (inst.) - Yearly data (not included in survey);;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;
;;;;EtabUAI;nouveau;;Code UAI Etab;UAI code  inst.;Code UAI de l'établissement;UAI code of the institution;Le code UAI est un champ pré-rempli dans l’application.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;ETAB;
;;;;EtabSiseL;nouveau;;Etudiants L N-1/N;Numberundergrad. N-1/N.;Nombre d'étudiants inscrits en niveau licence dans l'établissement pour l'année universitaire N-1/N;Number of undergraduate students enrolled in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données SISE à intégrer par administrateur
;;;;EtabSiseM;nouveau;;Etudiants M N-1/N;Number Master enrolled N-1/N.;Nombre d'étudiants inscrits en niveau master dans l'établissement pour l'année universitaire N-1/N;Number of students enrolled in the institution at master's level for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données SISE à intégrer par administrateur
;;;;EtabSiseD;nouveau;;Etudiants D N-1/N;Number PhD enrolled N-1/N.;Nombre d'étudiants inscrits en niveau doctorat dans l'établissement pour l'année universitaire N-1/N;Number of doctoral students enrolled in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données SISE à intégrer par administrateur
;;;;EtabSiseTot;nouveau;;Total Etudiants;Total students;Nombre total d'étudiants inscrits dans l'établissement pour l'année universitaire N-1/N;Total number of students enrolled in the institution for the academic year N-1/N;SO;N;Calculée;EtabSiseL + EtabSiseM + EtabSiseD;Non;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;;;ETAB;
;;;;EtabECTit;nouveau;;EC Etab titulaires N-1/N;Numb. tenured inst. teachers N-1/N.;Nombre d'enseignants chercheurs titulaires de l'établissement pour l'année N-1/N;Number of tenured permanent teachers in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;EtabECNTit;nouveau;;EC Etab non-titulaires N-1/N;Numb. untenured inst. teachers N-1/N.;Nombre d'enseignants chercheurs non-titulaires de l'établissement pour l'année N-1/N;Number of permanent teachers In the institution without tenure for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;EtabECAut;nouveau;;Autres Enseignants;Other teachers;Nombre d'autres enseignants de l'établissement pour l'année N-1/N (enseignants du second degré, ATER, maîtres de langues …);Number of other teachers in the institution for the year N-1/N (non-tenured teachers, secondary school teachers etc.);Non;n;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;EtabECTot;nouveau;;Total enseignants;Total teachers;;;SO;n;Calculée;EtabECTit + EtabECNTit + EtabECAut;;;;;;;;;;entier;;;;;;;;;ETAB;
Etablissement - Données annuelles (internes à l'enquête);;;;;;;;Institution (inst.) - Yearly data (included in survey);;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;
;;;;EtabDepDoc;Budg16;;Depenses doc totales etab;Inst. total spending lit.;Dépenses documentaires totales de l'établissement;Total spending on literature;Total des dépenses réalisées pour des acquisitions documentaires, la conservation et la numérisation, par l’ensemble des services de l’établissement ou de l’organisme, d’après la nomenclature budgétaire. Information disponible auprès des services financiers. Cette donnée permettra de calculer la part du budget documentaire de la structure documentaire par rapport au budget documentaire total de l’université. Lorsqu'elle est une composante d’une organisation plus large, toute la dépense documentaire peut ne pas être réalisée par la structure documentaire.;N;Saisie;;Libre;;;;;;;;;dec2;€;année civile;;;;;-40%;40%;ETAB;Saisie par la structure documentaire - Consigne à précisier pour cas complexes
;;;;EtabBudgTot;nouveau;;Budget établissement;Institution budget;Budget total de l'établissement;Total budget of the institution;;N;Saisie;;Libre;;;;;;;;;dec2;€;année civile;;;;;-40%;40%;ETAB;Variable à créer et à mettre en attente - modaltés de saisie à définir
Structure documentaire - Informations générales;;;;;;;;Library service (LS) - General information;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;SdNomOffi;nouveau;;Nom SD officiel;Off. LS name;Nom officiel de la structure documentaire;Official name of Library service;Indiquer le nom officiel de la structure documentaire. Les variantes sont des données facultatives.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG1 selon les cas
;;;;SdNomUsage;nouveau;;Nom SD Usage;Comm. LS name ;Nom d'usage de la structure documentaire;Common Name of Library service;Le nom d'usage est une donnée facultative.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdSigle;nouveau;;Sigle SD ;LS Acronym;Sigle de la structure documentaire;Acronym of Library service;Le sigle est une donnée facultative.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdMarque;nouveau;;Marque SD;LS Label ;Marque de la structure documentaire;Label of Library service;La marque est une donnée facultative.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdAdresse;nouveau;;Adresse SD; LS Address;Adresse de la structure documentaire;Library service address;Adresse : donner l’adresse postale de la direction du service.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG2 selon les cas
;;;;SdCP;nouveau;;Code postal SD; LS Postcode;Code postal de la structure documentaire;Library service postcode ;Le code postal est indiqué sans CEDEX;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG3 selon les cas
;;;;SdVille;nouveau;;Ville SD; LS City;Ville de la structure documentaire;Library service city;;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG4 selon les cas
;;;;SdCSiteWeb;nouveau;;Site Web SD; LS Website;Site Web de la structure documentaire;Library service website ;Site web : indiquer l’adresse du site web de la bibliothèque si elle est différente du site de l’établissement.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;reprise d'historique IG5 selon les cas
;;;;SdType;nouveau;;Type ; LS Type;Type de la structure documentaire;Type of Library service;Le type de structure documentaire est un champ pré-rempli dans l’application.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
Structure documentaire - Données annuelles;;;;;;;;Library service (LS) - Yearly data;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;SdUAI;nouveau;;Code UAI SD; LS UAI code;Code UAI de la structure documentaire;Library service UAI code;Le code UAI est un champ pré-rempli dans l’application.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdILN;nouveau;;ILN;ILN;ILN - Internal library number;Internal library number (ILN);Le code ILN est à renseigner pour la structure documentaire.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdRCR;nouveau;;numéro(s) RCR;RCR number(s);numéro(s) du RCR (répertoire des centres de ressources) non attribué(s) à une bibliothèque physique;RCR (Resource Centre Directory) number(s) not assigned to a physical library;Si la structure documentaire possède un code RCR non rattaché à une bibliothèque, il est à renseigner ici. S’il y a plusieurs RCR dans ce cas, ils sont à séparer par un point-virgule.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;Si plusieurs RCR, saisie à la suite séparés par des points-virgule. Wikipédia : L'identifiant RCR se compose de 9 chiffres (les 2 premiers chiffres correspondent au numéro du département, les 3 suivants au code Insee de la commune, les 2 suivants au type de bibliothèque, et les 2 derniers au numéro séquentiel)
Utilisateurs;;;;;;;;Users;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;;
;;;;UserRole;nouveau;;Role(s) de l'utilisateur;User Role;;;Les rôles sont : 1 - responsable de structure documentaire pour la direction du service, 2 - responsable de l'enquête si ce rôle est distinct de la responsabilité de la structure, 3 - responsable de saisie si ce rôle est délégué pour une partie de l'enquête. Ces rôles ont des droits différents dans l'application. ;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserPrenom;nouveau;;Prénom de l'utilisateur;User Forename;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserNom;nouveau;;Nom de l'utilisateur;User Name;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserTel;nouveau;;Téléphone de l'utilisateur;User phone no.;;;Téléphone professionnel;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserMel;nouveau;;Mèl de l'utilisateur;User email;;;Mél professionnel;O;Saisie;;;;;;;;;;;;;;;;;;;;;
