Niveau 1
(Formulaire);Niveau 2
(Groupe);Niveau 3
(sous-groupe);Niveau 4
(sous-sous-groupe);Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque;RegEx
Etablissement - Informations générales;;;;;;;;Institution (inst.) - General information;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;;
;;;;EtabNomOffi;nouveau;;Nom Etab officiel;Official name inst.;Nom officiel de l'établissement;Official name of the institution;Le nom officiel est un champ pré-rempli dans l’application.;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG1 selon les cas;
;;;;EtabNomUsage;nouveau;;Nom Etab Usage;Common name inst.;Nom d'usage de l'établissement;Common name of the institution;Le nom d'usage est une donnée facultative.;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;;
;;;;EtabSigle;nouveau;;Sigle établissement;Institution acronym;Sigle de l'établissement;Institution acronym;Le sigle est une donnée facultative.;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;;
;;;;EtabMarque;nouveau;;Marque établissement;Institution label;Marque de l'établissement;Institution label;La marque est une donnée facultative.;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;;
;;;;EtabAdresse;nouveau;;Adresse Etab;Inst. address ;Adresse de l'établissement;Institution address;Adresse : donner l’adresse postale de la direction de l’établissement. Les coordonnées de l’établissement sont récupérées de DataESR mais peuvent être corrigées. ;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG2 selon les cas;
;;;;EtabCP;nouveau;;Code postal Etab;Inst. postcode ;Code postal de l'établissement;Institution postcode;Le code postal est indiqué sans CEDEX.;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG3 selon les cas;
;;;;EtabVille;nouveau;;Ville Etab;Inst. city ;Ville de l'établissement;Institution city;;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG4 selon les cas;
;;;;EtabGPS;nouveau;;Coord GPS Etab;Inst. GPS coord.;Coordonnées GPS de l'établissement;Institution GPS coordinates;Les coordonnées GPS sont une donnée facultative;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;;
;;;;EtabSiteWeb;nouveau;;Site Web Etab;Inst. Website;Site Web de l'établissement;Institution website;Site web : indiquer l’adresse du site web de l’établissement;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG5 selon les cas;
;;;;EtabType;nouveau;;Type Etab;Inst. type ;Type d'établissement;Type of institution;Le type d’établissement est un champ pré-rempli dans l’application.;O;Saisie;;Liste non modifiable  choix unique;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;liste : ;
Etablissement - Données annuelles (extérieures à l'enquête);;;;;;;;Institution (inst.) - Yearly data (not included in survey);;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;;
