"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;Champ actif pour 2018;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;% Evolution Max (alerte NBL);Granularité;Remarque
Etablissement - Informations générales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ETAB;
;;;;ETAB_NOMOFFI;nouveau;;Nom Etab officiel;;Nom officiel de l'établissement;Official name of the institution;Non;O;Saisie;;Libre;SO;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;reprise d'historique IG1 selon les cas
;;;;ETAB_NOMUSAGE;nouveau;;Nom Etab Usage;;Nom d'usage de l'établissement;Common name of the institution;Non;O;Saisie;;Libre;SO;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;
;;;;ETAB_SIGLE;nouveau;;Sigle établissement;;Sigle de l'établissement;Acronym;Non;O;Saisie;;Libre;SO;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;
;;;;ETAB_MARQUE;nouveau;;Marque établissement;;Marque de l'établissement;Brand / Label ?;Non;O;Saisie;;Libre;SO;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;
;;;;ETAB_ADRESSE;nouveau;;Adresse Etab;;Adresse de l'établissement;Institutional adress;Non;O;Saisie;;Libre;SO;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;reprise d'historique IG2 selon les cas
;;;;ETAB_CP;nouveau;;Code postal Etab;;Code postal de l'établissement;Postcode;Non;O;Saisie;;Libre;SO;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;reprise d'historique IG3 selon les cas
;;;;ETAB_VILLE;nouveau;;Ville Etab;;Ville de l'établissement;City;Non;O;Saisie;;Libre;SO;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;reprise d'historique IG4 selon les cas
;;;;ETAB_GPS;nouveau;;Coord GPS Etab;;Coordonnées GPS de l'établissement;GPS coordinates;Non;O;Saisie;;Libre;SO;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;
;;;;ETAB_SITEWEB;nouveau;;Site Web Etab;;Site Web de l'établissement;Website;Non;O;Saisie;;Libre;SO;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;reprise d'historique IG5 selon les cas
;;;;ETAB_TYPE;nouveau;;Type Etab;;Type d'établissement;type of facility/type of institution ?;Non;O;Saisie;;Liste non modifiable  choix unique;SO;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;ETAB;liste : 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etablissement - Données annuelles (extérieures à l'enquête);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ETAB;
;;;;ETAB_UAI;nouveau;;Code UAI Etab;;Code UAI de l'établissement;UAI code of the institution;Non;O;Saisie;;Libre;;;;;;;;;;Texte;;;;;;;;ETAB;
;;;;ETAB_SISE_L;nouveau;;Etudiants L N-1/N;;Nombre d'étudiants inscrits en niveau licence dans l'établissement pour l'année universitaire N-1/N;Number of undergraduate students enrolled in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;10%;ETAB;Données SISE à intégrer par administrateur
;;;;ETAB_SISE_M;nouveau;;Etudiants M N-1/N;;Nombre d'étudiants inscrits en niveau master dans l'établissement pour l'année universitaire N-1/N;Number of students enrolled at master's level in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;10%;ETAB;Données SISE à intégrer par administrateur
;;;;ETAB_SISE_D;nouveau;;Etudiants D N-1/N;;Nombre d'étudiants inscrits en niveau doctorat dans l'établissement pour l'année universitaire N-1/N;Number of doctoral students enrolled in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;10%;ETAB;Données SISE à intégrer par administrateur
;;;;ETAB_SISE_TOT;nouveau;;Total Etudiants;;Nombre total d'étudiants inscrits dans l'établissement pour l'année universitaire N-1/N;Total number of students enrolled in the institution for the academic year N-1/N;SO;N;Calculée;ETAB_SISE_L + ETAB_SISE_M + ETAB_EC_AUT;Non;SO;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;;ETAB;
;;;;ETAB_EC_TIT;nouveau;;EC Etab titulaires N-1/N;;Nombre d'enseignants chercheurs titulaires de l'établissement pour l'année N-1/N;Number of permanent teachers with tenure ??? in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;SO;;;;;;;;;entier;;année universitaire N-1/N;;;;;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;ETAB_EC_NTIT;nouveau;;EC Etab non-titulaires N-1/N;;Nombre d'enseignants chercheurs non-titulaires de l'établissement pour l'année N-1/N;Number of permanent teachers without tenure ? In the institution for the academic year N-1/N;Non;N;Saisie;;Libre;SO;;;;;;;;;entier;;année universitaire N-1/N;;;;;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;ETAB_EC_AUT;nouveau;;Autres Enseignants;;Nombre d'autres enseignants de l'établissement pour l'année N-1/N (EC non titulaires, enseignants du second degré …);Number of other teachers in the institution for the year N-1/N (non-tenured teachers, secondary school teachers ...);Non;n;Saisie;;Libre;SO;;;;;;;;;entier;;année universitaire N-1/N;;;;;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;ETAB_EC_TOT;nouveau;;Total enseignants;;;;SO;n;Calculée;ETAB_EC_TIT + ETAB_EC_NTIT + ETAB_DEPDOCTOT;;;;;;;;;;;entier;;;;;;;;ETAB;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etablissement - Données annuelles (internes à l'enquête);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ETAB;
;;;;ETAB_DEPDOCTOT;Budg16;;Depenses doc totales etab;;Dépenses documantaires totales de l'établissement;;Oui;N;Saisie;;Libre;O;;;;;;;;;dec2;€;année civile;;;;;40%;ETAB;"Saisie par la structure documentaire
Consigne à précisier pour cas complexes"
;;;;ETAB_BUDGTOT;nouveau;;Budget établissement;;Budget total de l'établissement;Total budget of the institution;Non;N;Saisie;;Libre;SO;;;;;;;;;dec2;€;année civile;;;;;40%;ETAB;Variable à créer et à mettre en attente - modaltés de saisie à définir
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Structure documentaire - Informations générales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SD;
;;;;SD_NOMOFFI;nouveau;;Nom SD officiel;;Nom officiel de la structure documentaire;Official name of Library Service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;reprise d'historique IG1 selon les cas
;;;;SD_NOMUSAGE;nouveau;;Nom SD Usage;;Nom d'usage de la structure documentaire;common Name of Library service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;
;;;;SD_SIGLE;nouveau;;Sigle SD ;;Sigle de la structure documentaire;acronym of Library service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;
;;;;SD_MARQUE;nouveau;;Marque SD;;Marque de la structure documentaire;Brand / Label ? of Library service;Non;O;Saisie;;Libre;SO;;;;;;;;;Texte;;;;;;;;SD;
