Id_New;IdentFMU;SdNomOffi;SdUAI;MoyUnite;MoyETPT;RecDroitsbib;RecTutelle;RecCollTerr;RecAutMin;RecRessProp;RecAut;DepSalTit;DepSalNonTit;DepSalAut;DepDepDoc;DepMaintenance;DepAut;DepInv;DepNCA;AcqSuppLiv;AcqSuppPer;AcqSuppAut;AchatNumLiv;AchatNumPer;AchaNumtAut;AbonNumLiv;AbonNumPer;AbonNumAut;DepDPartForm;DepDPartRec;DepDConserv;DepDNumeris;AONoticeStock;AOTexteStock;AONoticeFlux;AOTexteFlux;AOVisites;AOTelecharg;SuppTitLiv;SuppTitPer;SuppTitAut;UnitMatLiv;UnitMatAut;SuppMlLiv;SuppMlPer;SuppMlAut;MLAccesLiv;MLAccesPer;MLAccesAut;PatTitLiv;PatTitPer;PatTitAut;PatUnitMatLiv;PatUnitMatAut;PatMLLiv;PatMLPer;PatMLAut;Sudoc;SudocPart;ColNNumerise;ColNTheseNum;ColNPedago;ColNAccLibre;ColNNumeriseGo;ColNTheseNumGo;ColNPedagoGo;ColNAccLibreGo;ColNAcqRess;ColNAcqTitLiv;ColNAcqTitPer;ColNAcqRessGo;ColNAcqTitLivGo;ColNAcqTitPerGo;EntTitLivFr;EntTitlivEt;EntTitPer;EntTitAut;EntVolLivFr;EntVolLivEt;EntVolAut;DonTitLivFr;DonTitLivEt;DonTitPer;DonTitAut;DonVolLivFr;DonVolLivEt;DonVolAut;SorTitLivTot;SorTitPer;SorTitAut;SorVolLiv;SorVolAut;EntNumerise;EntTheseNum;EntPedago;EntNumeriseGo;EntTheseNumGo;EntPedagoGo;EntNumAcq;EntNumAcqGo;NbNumSouscrite;NumSignalePer;NumSignaleLiv;NbEntrees;NbExpos;NbAutManif;EmprL;EmprM;EmprD;EmprEC;EmpAut;EmprExt;InscritL;InscritM;InscrritD;InscritEC;InscritAut;InscritExt;OrgInscritD;OrgInscritC;OrgInscritIR;OrgInscritAut;OrgInscritExtC;OrgInscritExtAut;UsSessions;UsRec;UsVuesEbook;UsVuesArticles;UsVuesAut;UsVueNumerise;UsVuePedago;UsVuesTheseNum;UsVuesArticleEtb;UsVisites;UsRecCat;UsQuestions;FormOutcursH;FormOutcursL;FormOutcursM;FormOutcursD;FormOutcursAut;FormIncursH;FormIncursL;FormIncursM;FormIncursD;PebDExp;PebDSat;PebFRecues;PebFSat;PersPP_BibA;PersPP_BibB;PersPP_BibC;PersPP_BibBC;PersPP_ITRFA;PersPP_ITRFB;PersPP_ITRFC;PersPP_ITRFBC;PersPP_AutA;PersPP_AutB;PersPP_AutC;PersPP_AutBC;PersPP_CDDA;PersPP_CDDB;PersPP_CDDC;PersPP_CDDBC;PersPP_CDIA;PersPP_CDIB;PersPP_CDIC;PersPP_CDIBC;PersPP_Etud;PersETPT_Etud;PersFormH;Activite1;Activite2;Activite3;Activite4;Activite5;Activite6;Activite7;Activite8;Activite9;Activite10;Activite11;Activite12;Activite13;Activite14;Activite15;Activite16;ActiviteAut
1;1;Bibliothèque de l'Adcadémie nationale de médecine;;TTC;7,6;0;69329;0;0;69329;0;406353;69309;0;94953;10300;51980;0;0;2320;67972;2788;0;0;0;0;3600;0;0;100;16292;1981;0;0;0;0;0;0;120000;4090;;;;1250;3298;;;;;120000;4090;;;;1250;3298;;;95;22650;0;0;100;;;;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;152;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;116;95;70;36;3;1;2;0;0;0;0;0;0;1;0;0;0;;0;0;1;;0;0;0;0;0;1;0,9;0;1,1;0;0;0;0,1;0,1;0,6;0,5;0,1;0,2;0,5;0,5;1,2;0,8
2;2;Service d'IST de l'Agence de l’environnement et de la maîtrise de l’énergie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4;Service d'IST de l'Agence Nationale chargée de la Sécurité Sanitaire de l'alimentation, de l'environnement et du travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;6;Service d'IST de l'Agence nationale pour la gestion des déchets radioactifs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;9;SCD de Aix-Marseille Université;0134031L;TTC;198;0;3266915;;;323370;40866;9518448;546334;34636;2648039,74;;299618;103924;;813483,36;399370,3;18637,15;3857;0;0;98925;744634,75;547425,78;42,52;57,48;11103,4;10603;58717;19448;17669;4638;30270;2805394;837024;16866;138970;1048711;267359;31130;19164;4396;12288;475;216;;1412;5646;62000;6000;1835;;78;;97,19;272;4032;369;41,81;4689;340;4;94,8;0;53;2286;;;;20517;1144;1527;395;29703;1174;395;2120;492;0;395;14817;527;576;12664;79;51;24450;3191;18;824;92;500;11;1;2339;;6806;29645;28922;2305886;86;119;11106;10909;2687;975;1437;1408;16981;16057;3999;1733;951;910;;;;;;;822325;2204674;1034688;1506876;1776319;4496;55575;662209;804328;816422;454546;2682;504,25;1034;180;269;207;1763;11242;3277;488;1922;1761;4031;3086;43;46;68;;1;1;0;;2;2;15;;2;0;21;;0;0;5;;61;7,26;2831;40,1;37,85;11,4;46,05;5,8;1,1;0;5,45;4,1;1;0,75;0;0,2;21,5;19,2;3;0,5
6;14;SCD de l'Institut national universitaire Jean-François-Champollion;;TTC;15,4;116000;70000;;;8000;;380285;125197;2800;149532,87;;25462,68;9033,39;;65309,28;32696,29;3588,46;;;;21300,14;22285,72;3339,25;94;6;1013,73;;0;31;0;14;745;846;66646;292;1218;76828;1870;2260;333;21;1810;46;20;;;;;;;;;;98;;31;;100;;;;0;1;276;;;;;2967;149;288;81;3244;162;81;218;28;;0;221;18;0;;7;1;;1;;14;;;;;;;;37030;46834;120788;3;11;1366;175;3;66;58;439;;;;;;;;;;;;;12638;;510;36042;;;;846;;;;180;47,5;278;45;;46;222;1566;;;264;249;219;208;3;4;1;;;1;2;;;;;;;2;1;;;1;;;4;0,25;;3,4;0,6;1,5;2,5;0,2;0,2;;1,5;0,5;0,1;;;0,1;1;1;1;1,4
7;16;SCD de l'Université de Picardie-Jules-Verne;0801253C;TTC;80,27;10725,88;1348196;295000;74000;6064,92;7739,13;3645647;495207;0;1483578,9;70874,64;121330,37;14355,91;0;290090,73;261967,82;8446,73;0;0;0;64464,62;839335,95;0;37;63;19273,05;0;;437;;183;;;300079;3016;19759;404416;26970;8561;4920;623;5948;733;66;38937;50;0;38937;0;757;2;23;;95;0;0;0;0;0;0;0;0;15;15861;0;;;;8817;140;907;258;12275;152;557;765;0;23;0;878;0;0;12376;90;147;17162;147;0;183;;;1;;294;1;98;57714;190248;910656;26;13;5346;3881;593;378;0;575;0;0;0;0;0;0;0;0;0;0;0;0;3825743;4106204;101168;500528;76240;0;0;0;0;197706;76111;75;367;987;248;79;217;1497;4865;374;119;3720;3384;1121;1049;15;24;28;0;1;2;0;0;5;0;6;0;0;2;4;0;0;0;1;0;45;7,8;549;23,3;12,15;7,7;19,9;0,8;1,5;0,3;3,65;1,8;0,6;0,5;0;0,1;5,45;6,7;0,5;0
8;18;SCD de l'Université d'Angers;0491677G;TTC;48,8;510000;483000;0;0;125000;0;2500000;130000;0;918000;10000;190000;0;;261400;105000;6000;;;;9000;532000;0;30;70;4600;0;15056;2565;;;;;346807;1824;25213;418195;28115;9504;2639;250;5059;368;100;0;0;0;0;0;0;0;0;;90;0;2338;0;60;0;;0;0;0;0;0;0;0;0;7814;320;555;112;10282;348;112;124;16;0;0;129;16;0;;0;75;9162;75;0;588;0;0;;0;0;0;47;43000;10761;1325364;6;4;4987;4352;555;528;342;;;;;;;809;;;;;;;147583;334708;64970;410663;0;0;0;;;544589;684221;631;89;2;72;124;0;710;6236;678;272;2291;2154;960;960;7;19;17;;0;4;1;;0;1;2;;0;0;0;;1;0;0;;55;3,15;;6;8;4;15;2;1;0,3;0,8;1;0,2;1;0;0,5;5;2;2;0
10;21;SCD de l'Université d'Artois;0623982S;TTC;51,5;220000;760000;;26535;;;2504738,31;171594;;752059,46;52708,47;178248,28;;;338456,8;173461,24;13787,97;;;;32528,12;167560,31;9136,68;80;20;14291,92;2836,42;2247;1149;289;102;;454951;217915;3208;13235;255419;14189;5314;1442;463;4294;570;73;;;;;;;;;;97;576;130;;0;;;;0;;;;;;;10595;485;24;448;12189;523;451;1866;22;9;0;2022;22;0;3798;15;10;5280;10;20;9;;;;;;;34;;;560255;22;40;3036;812;70;237;120;409;2421;742;67;227;113;385;;;;;;;103719;272032;89333;134591;345;19857;;;;88585;781590;633;258;1391;93;;517;1180;1739;136;13;501;446;485;435;7;12;15;;4;3;4;;3;;;;;3;2;;;;1;;25;2,5;500,5;13,1;7,7;5,75;9,4;0,9;0,25;;1,1;2,7;0,5;1,95;;;3,45;2,3;2,4;
11;24;SCD de l'Université d'Avignon;0841028L;HTR;29,3;221068;819431;;;16957;;1527401;158127;;598197;;93179;;2370986;168513;118731;19530;;;;21916;78785;182817;37;63;7905;;8735;2502;1515;607;2251063;609148;168513;598;5463;191858;5643;4390;751;92;2849;586;86;5206;598;;5206;;100;1338;;;91,1;;365;;0;;;;0;1;218;0;;;;5454;248;598;347;6080;258;347;;;;;;;;22;;;22;;;33;;;;;0;;38;236507;68648;451335;10;;1283;449;41;68;59;317;;;;;;520;61;662;;;;;44695;128787;5193;65650;;0;0;0;0;129497;121781;630;76;0;0;73;571;255;1714;138;62;703;685;296;271;7;8;9;;;1;;;1;;3;;;;2;;;;1;;28;8,1;1182;4,33;1,7;2,2;5,6;0,29;0,29;0,1;0,2;0,1;0,05;0,1;0,4;0,5;2,16;1,35;0,7;3,3
