Id_New;IdentFMU;Nom courant;SdUAI;MoyUnite;MoyETPT;RecDroitsbib;RecTutelle;RecCollTerr;RecAutMin;RecRessProp;RecAut;DepSalTit;DepSalNonTit;DepSalAut;DepDepDoc;DepMaintenance;DepAut;DepInv;DepNCA;AcqSuppLiv;AcqSuppPer;AcqSuppAut;AchatNumLiv;AchatNumPer;AchaNumtAut;AbonNumLiv;AbonNumPer;AbonNumAut;DepDPartForm;DepDPartRec;DepDConserv;DepDNumeris;AONoticeStock;AOTexteStock;AONoticeFlux;AOTexteFlux;AOVisites;AOTelecharg;SuppTitLiv;SuppTitPer;SuppTitAut;UnitMatLiv;UnitMatAut;SuppMlLiv;SuppMlPer;SuppMlAut;MLAccesLiv;MLAccesPer;MLAccesAut;PatTitLiv;PatTitPer;PatTitAut;PatUnitMatLiv;PatUnitMatAut;PatMLLiv;PatMLPer;PatMLAut;Sudoc;SudocPart;ColNNumerise;ColNTheseNum;ColNPedago;ColNAccLibre;ColNNumeriseGo;ColNTheseNumGo;ColNPedagoGo;ColNAccLibreGo;ColNAcqRess;ColNAcqTitLiv;ColNAcqTitPer;ColNAcqRessGo;ColNAcqTitLivGo;ColNAcqTitPerGo;EntTitLivFr;EntTitlivEt;EntTitPer;EntTitAut;EntVolLivFr;EntVolLivEt;EntVolAut;DonTitLivFr;DonTitLivEt;DonTitPer;DonTitAut;DonVolLivFr;DonVolLivEt;DonVolAut;SorTitLivTot;SorTitPer;SorTitAut;SorVolLiv;SorVolAut;EntNumerise;EntTheseNum;EntPedago;EntNumeriseGo;EntTheseNumGo;EntPedagoGo;EntNumAcq;EntNumAcqGo;NbNumSouscrite;NumSignalePer;NumSignaleLiv;NbEntrees;NbExpos;NbAutManif;EmprL;EmprM;EmprD;EmprEC;EmpAut;EmprExt;InscritL;InscritM;InscrritD;InscritEC;InscritAut;InscritExt;OrgInscritD;OrgInscritC;OrgInscritIR;OrgInscritAut;OrgInscritExtC;OrgInscritExtAut;UsSessions;UsRec;UsVuesEbook;UsVuesArticles;UsVuesAut;UsVueNumerise;UsVuePedago;UsVuesTheseNum;UsVuesArticleEtb;UsVisites;UsRecCat;UsQuestions;FormOutcursH;FormOutcursL;FormOutcursM;FormOutcursD;FormOutcursAut;FormIncursH;FormIncursL;FormIncursM;FormIncursD;PebDExp;PebDSat;PebFRecues;PebFSat;PersPP_BibA;PersPP_BibB;PersPP_BibC;PersPP_BibBC;PersPP_ITRFA;PersPP_ITRFB;PersPP_ITRFC;PersPP_ITRFBC;PersPP_AutA;PersPP_AutB;PersPP_AutC;PersPP_AutBC;PersPP_CDDA;PersPP_CDDB;PersPP_CDDC;PersPP_CDDBC;PersPP_CDIA;PersPP_CDIB;PersPP_CDIC;PersPP_CDIBC;PersPP_Etud;PersETPT_Etud;PersFormH;Activite1;Activite2;Activite3;Activite4;Activite5;Activite6;Activite7;Activite8;Activite9;Activite10;Activite11;Activite12;Activite13;Activite14;Activite15;Activite16;ActiviteAut
1;1;Bibliothèque de l'Adcadémie nationale de médecine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;248;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;Service d'IST de l'Agence de l’environnement et de la maîtrise de l’énergie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4;Service d'IST de l'Agence Nationale chargée de la Sécurité Sanitaire de l'alimentation, de l'environnement et du travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;6;Service d'IST de l'Agence nationale pour la gestion des déchets radioactifs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;9;SCD de Aix-Marseille Université;0134031L;TTC;197,8;0;3058440;3500;44059;74292;0;9197654;660098;0;2716907,6;0;373323;33399,2;0;876109,56;258193,66;21044,86;192426,31;;;232155,99;712976,24;405445,59;42;58;10962,39;7593;68771;27384;12155;8154;56642;;808570;16803;144014;1033087;220412;28584;19542;3177;11598;541;184;;1412;5646;62000;6000;1835;;78;;96,9;433;5505;463;49,19;7466;49;3;99,59;16;10014;0;;;;22266;1301;1512;407;31739;1386;450;1146;393;0;0;1882;426;0;16538;49;101;32617;122;161;1470;94;2777;11;1;0;0;83;30911;46199;2438110;99;146;11599;11790;2589;1059;1555;1625;17310;17539;3798;1693;890;893;;;;;;;639308;2125157;1578851;1183456;1644884;10127;103947;952171;;871813;489160;2431;449,75;118;250;223;406;2329;18523;2850;803;1915;1666;4408;3659;40;48;75;;1;1;3;;2;2;10;;2;1;16;;2;0;3;;60;7,43;7269;40,2;33,95;12,35;47,55;5,9;2,1;0;5,45;3,95;1,5;0,75;0;1,2;20,15;19,45;2,95;0,35
6;14;SCD de l'Institut national universitaire Jean-François-Champollion;;TTC;15,6;116000;70000;;;8000;;533309;128316;;151676;;22528;9781,8;;63679;28817;8242;277;;;23782;22944;3241;88;12;694;;441;407;;;57027;104732;68387;306;1219;78616;3080;2385;330;23;1668;30;23;;;;;;;;;;100;;32;;0;;;;0;1;276;15376;;;;2791;68;44;43;2921;88;;69;2;0;0;71;4;0;816;2;21;860;32;;32;;;;;277;;11;37030;46834;157456;3;10;1582;227;21;77;61;91;1582;227;21;77;61;91;;;;;;;17765;;58063;36386;;;;104732;;;;201;40;318;;;51;197;1461;129;;276;259;155;152;3;4;1;;;1;2;;;;;;;2;1;;;1;;;6;0,25;568;3,4;0,6;1,5;2,5;0,2;0,2;;1,5;0,5;0,1;;;0,1;1;1;1;1,4
7;16;SCD de l'Université de Picardie-Jules-Verne;0801253C;TTC;77,85;0;1342196;300200;74000;4438,16;9191,1;3596628,28;501320,09;;1320088,34;69809,37;159215,65;117459,63;;306036,06;257304,53;6808,26;;;;73920,61;644808,14;;37;63;31210,74;;;;;;;;298498;2721;17034;425752;25247;8884;5036;502;5951;787;270;38937;50;1;38937;;757;2;23;;92;;684;;0;;;;0;17;10286;;;;;8904;272;31;120;12964;284;120;784;;16;233;893;;233;7410;34;;8774;;;233;;;2;;1669;;85;61841;466029;818167;71;20;6037;4011;557;427;558;289;;;;;;976;;;;;;;2097345;2378163;531678;639851;83842;;;;;;77880;59;205;292;273;67;28;1685;6289;440;124;3408;3131;1291;1213;11;26;26;;1;2;;;2;;5;;;1;9;;;1;1;;42;7,4;557;20,2;10;4,4;22,85;1;;;3,7;1,5;0,7;0,6;;;5;7,2;0,7;
8;18;SCD de l'Université d'Angers;0491677G;TTC;53;528614;726293;;300;99330;;2714000;115813;;956250;;71895;60000;;284260;9740;4383;;;;99677;299991;165739;40;60;4760;0;17524;2928;998;261;21219;71473;348518;1839;25336;421617;28053;8273;2639;1481;5059;368;70;0;0;0;0;0;0;0;0;;90;0;77;0;0;0;;0;0;1;0;2200;;;;7862;308;;80;10313;352;80;43;3;;0;51;3;0;;;;8791;408;0;85;0;0;;0;0;0;48;62037;29086;1366275;6;5;5820;4524;600;886;66;;;;;;;800;;;;;;;99082;378149;50189;406591;4765;0;0;;;594443;399917;806;177;103;156;243;8;631;5715;497;214;1907;1808;1293;1119;7;19;17;;;4;1;;;1;2;;;;;;1;;;;53;3,5;636;15;2;4;17;1;1;;0,5;0,5;;0,5;;;5,5;3;1;2
10;21;SCD de l'Université d'Artois;0623982S;TTC;50,4;220000;760000;;31424,7;;;2551756,09;176557,19;;802870,22;108827,47;70993,52;19366,38;4683,37;371800,3;165926,07;34053,43;;;;16042,95;195756,56;8360,73;73;27;10930,18;0;3194;1281;939;131;;;230270;2795;14019;279054;14662;4475;1391;455;3893;491;66;;;;;;;;;;98;576;495;;0;;;;0;;;;;;;10348;601;6;695;12014;621;696;3142;11;42;0;3661;11;0;3419;1;299;4886;299;0;21;0;0;;0;;;35;51318;1658;480373;38;62;1831;530;63;200;89;217;3170;779;84;352;218;241;;;;;;;164809;198768;21528;152386;79994;14399;;;;271492;781899;381;553;2009;171;17;577;735;2258;16;0;414;363;531;455;7;12;15;;4;4;2;;4;;2;;;1;2;;;;1;;36;2,55;215;13,1;7,7;5,75;9,4;0,9;0,25;;1,1;2,7;0,5;1,9;;0,25;3,45;2;1,4;
11;24;SCD de l'Université d'Avignon;0841028L;HTR;644,8;229160;600840;16064;;16807,61;;1590298;169083;;620827,8;;24770,94;3005;36401,86;164136,07;110979,07;19571,86;12382,97;;;33276,69;80227,29;185758,14;37;63;14495,71;;9228;3137;1289;951;265710;125179;174051;1459;5889;198127;5889;4494;1338;97;3069;588;91;5848;;2525;5848;2525;116;;10;;91,1;;352;;0;;;;0;2;520;;;;;5919;336;;351;6369;351;351;161;21;;;161;21;;899;;33;899;33;;52;;;;;;;39;237817;69854;335719;11;8;1081;407;58;167;104;455;;;;;;789;;;;;;;61169;205295;4528;66112;;;;;;157062;208682;381;17;0;0;0;180;818;3522;79;88;665;653;224;202;7;8;8;;;1;;;2;;3;;;2;1;;;;1;;30;9,2;1223;6,33;1,7;3,2;5,6;0,31;0,75;0,55;0,25;0,1;0,05;0,15;0,8;0,55;2,5;1,5;0,7;4,3
