Id_New;IdentFMU;SdNomOffi;SdAdresse;SdCP;SdVille;ESGBU_2013;ESGBU_2014;ESGBU_2015;ESGBU_2016;ESGBU_2017;ESGBU_2018;UAI_ETAB_MERE;UAI_SD;Libelle OD Etab
1;1;Bibliothèque de l'Adcadémie nationale de médecine;16, rue Bonaparte;75006;Paris;1;1;1;1;1;1;0753705V;;
2;2;Service d'IST de l'Agence de l’environnement et de la maîtrise de l’énergie;;;;1;1;1;1;1;1;0755504A;;
3;4;Service d'IST de l'Agence Nationale chargée de la Sécurité Sanitaire de l'alimentation, de l'environnement et du travail;14 rue Pierre et Marie Curie;94701;MAISONS-ALFORT;1;1;1;1;1;1;0942357B;;
4;6;Service d'IST de l'Agence nationale pour la gestion des déchets radioactifs;1-7, rue Jean Monnet;92298;Chatenay-Malabry Cedex;1;1;1;1;1;1;0922684T;;
5;9;SCD de Aix-Marseille Université;Campus Marseille centre - Case n°15 - 3 Place Victor Hugo - CS 80249;13331;Marseille Cedex 3;1;1;1;1;1;1;0134009M;0134031L;Aix-Marseille Université
6;14;SCD de l'Institut national universitaire Jean-François-Champollion;Place de Verdun;81012;ALBI;1;1;1;1;1;1;0811293R;;Institut national universitaire Jean-François Champollion
7;16;SCD de l'Université de Picardie-Jules-Verne;Chemin du Thil;80025;Amiens cedex 1;1;1;1;1;1;1;0801344B;0801253C;Université de Picardie Jules-Verne
8;18;SCD de l'Université d'Angers;57 quai Félix Faure;49055;ANGERS;1;1;1;1;1;1;0490970N;0491677G;Université d'Angers
9;19;SCD de l'Université Antilles-Guyanne;;;;1;1;0;0;0;0;9710585J;9720434P;Université des Antilles
10;21;SCD de l'Université d'Artois;9, rue du temple_x000D_ - BP 10665;62030;Arras Cedex;1;1;1;1;1;1;0623957P;0623982S;Université d'Artois
11;24;SCD de l'Université d'Avignon;Campus Hannah Arendt_x000D_ - 74, rue Louis Pasteur;84018;AVIGNON Cedex 1;1;1;1;1;1;1;0840685N;0841028L;Avignon Université
12;25;La contemporaine;6 allée de l'Université;92001;Nanterre;1;1;1;1;1;1;0921204J;0921867E;Université Paris Nanterre
13;26;SCD de l'Université de technologie de Belfort-Montbéliard;;90010;BELFORT Cedex;1;1;1;1;1;1;0900424X;0900441R;Université de technologie de Belfort-Montbéliard
14;27;SCD de l'Université de Franche-Comté;20, rue Ambroise Paré;25000;Besançon;1;1;1;1;1;1;0251215K;0250986L;Université de Franche-Comté
15;34;Bibliothèque interuniversitaire de Santé;12, rue de l'Ecole de Médecine;75006;Paris;1;1;1;1;1;1;0751721N;;
16;35;SCD de l'Université Bordeaux 1;;;;1;0;0;0;0;0;0331764N;0332972B;
17;36;SCD de l'Université Bordeaux 2;;;;1;0;0;0;0;0;0331765P;0333001H;
18;37;SCD de l'Université Bordeaux Montaigne;4 avenue Denis Diderot;33607;Pessac Cedex;1;1;1;1;1;1;0331766R;0333008R;Université Bordeaux-Montaigne
19;38;SCD de l'Université Bordeaux 4;;;;1;0;0;0;0;0;0332929E;0332917S;
20;40;Service de coopération documentaire de l'Université de Bordeaux;16 avenue Léon Duguit;33608;PESSAC;1;1;1;1;1;1;0333298F;0332237C;Université de Bordeaux
21;41;SCD de l'Université de Bordeaux;RDC bâtiment administratif_x000D_ - 16 avenue Léon Duguit CS 500057;33608;PESSAC cedex;0;1;1;1;1;1;0333298F;0333308S;Université de Bordeaux
22;42;SCD de l'Université de Bretagne Occidentale;10 avenue Victor le Gorgeu_x000D_ - BP 91342;29213;Brest Cedex 1;1;1;1;1;1;1;0290346U;0290323U;Université de Bretagne Occidentale
23;43;SCD de l'Université de Bretagne-Sud;25 rue Armand Guillemot;56321;Lorient Cedex;1;1;1;1;1;1;0561718N;0561779E;Université de Bretagne-Sud
24;49;Bibliothèque universitaire des langues et civilisations (SD);65 rue des Grands Moulins;75013;Paris;1;1;1;1;1;1;0755040W;;
25;50;Service d'IST du Bureau de recherches géologiques et minières;3 avenue Claude Guillemin_x000D_ - BP 36009;45060;ORLEANS CEDEX 2;1;1;1;1;1;1;0755363X;;
